channelId,customer_illust,customer_2d_modeling,customer_3d_modeling,customer_event,customer_talk,customer_comedy,customer_game,customer_sing,customer_perform,customer_composition,customer_video_edit,customer_foreign_lng,cluster
UC-0McIXO-k-ueD879cVjYGA,0,0,0,1,1,0,0,0,0,0,0,0,1:企画・お笑い・トーク
UC-5fy20Ws6pGKiPniGWSp_w,0,0,0,0,1,0,1,0,0,0,0,0,5:一般的
UC-5n3rENHsCuCBVtOS7cMzw,0,0,0,0,1,0,0,0,0,0,0,1,5:一般的
UC-6Iez54bE038UQauMgJS-w,0,1,0,0,1,0,0,1,0,0,0,0,1:企画・お笑い・トーク
UC-9mpnLpsp6O15A4qVSZkaw,0,0,0,0,0,0,0,0,0,1,0,0,5:一般的
UC-C7nycpin5BFgvJg8hOOvA,1,0,1,1,1,0,1,0,0,0,0,1,5:一般的
UC-FRKMBZ-XLLVHipcYPCjnA,0,0,0,1,0,0,0,0,0,0,0,0,5:一般的
UC-MZ5Rm8JPpXnPoTan1JGdQ,1,0,0,0,0,0,0,0,0,0,0,0,2:イラスト・2Dモデル
UC-Osw5bCN2PJKJq-s6gCcQQ,0,0,0,0,1,0,1,0,0,0,0,0,5:一般的
UC-QLBeV8GVfexXnQOisUTXQ,0,0,0,1,0,0,0,0,0,0,0,0,5:一般的
UC-QiTPDr_mwFVc3LYsdsM9w,1,1,0,1,1,0,1,1,0,0,1,0,1:企画・お笑い・トーク
UC-WfEvgxDBQ3E82yhohUaaw,1,0,0,1,1,0,0,1,1,1,0,0,1:企画・お笑い・トーク
UC-Y_6gEbu4sw65fru_zRD_w,0,0,0,0,0,0,0,0,0,1,0,0,5:一般的
UC-_FkS6liTecyggLY9_Pblw,1,0,0,0,0,0,0,0,0,0,0,0,2:イラスト・2Dモデル
UC-_X1qXm3mJgiZUoRMgCOwg,0,1,0,0,0,0,0,0,0,0,0,0,2:イラスト・2Dモデル
UC-hF7RQOScFblBSVBJ0PQoA,1,1,0,0,0,0,0,0,0,0,0,0,2:イラスト・2Dモデル
UC-mM3_AGLuCPUlTBGAqBNWw,0,0,0,1,0,1,0,0,0,0,1,0,1:企画・お笑い・トーク
UC-oclVGZWejWQqm3a77m92A,0,0,0,1,0,0,0,0,0,0,0,0,5:一般的
UC-paul1Nd8pnK2eAAtxAaYw,0,0,0,0,0,0,0,1,0,0,0,0,3:歌
UC-rOEaaqTBZKIO6jSdXpdPQ,0,0,0,1,1,1,1,1,0,0,0,0,1:企画・お笑い・トーク
UC-s7Qogbwocsd6r5ws4FyaA,0,0,0,0,1,0,1,0,0,0,0,0,5:一般的
UC-vawMwEtWJ6u9adL2uclbg,1,1,1,1,0,0,0,1,0,0,1,0,1:企画・お笑い・トーク
UC-wZpxe-sOkaJPAL88F4nhg,0,0,0,1,1,0,1,1,0,0,0,0,1:企画・お笑い・トーク
UC0-fiHH0MWrG1JMQi-2YDAQ,1,1,1,0,1,0,0,1,0,0,0,0,1:企画・お笑い・トーク
UC04Lp4fnMhrFNYM8PWbRiZg,0,0,1,1,0,0,1,0,0,0,1,0,4:動画編集
UC06VqaCdzE-WFS1ErD-vWTQ,0,1,0,0,1,0,1,0,0,0,0,0,5:一般的
UC07Ox8mQhE-bROLNbUOy2BA,0,0,0,1,0,0,0,0,0,0,0,0,5:一般的
UC08TI5fvi8KTaT5JXend4-w,0,0,0,1,1,1,1,0,0,0,0,0,1:企画・お笑い・トーク
UC0AOSe8rC8zF1GWjcrbEttg,1,0,0,1,0,0,1,0,0,0,0,0,1:企画・お笑い・トーク
UC0LFEzDw6vUN1tDvBvCT6-Q,0,0,0,1,0,0,0,1,1,1,1,0,4:動画編集
UC0P3jtkvQjZNLlGDuPMBq6g,1,0,0,0,0,0,0,0,0,0,0,0,2:イラスト・2Dモデル
UC0QO7Ecmv75MFV_ru89fTeQ,0,0,1,1,1,0,1,0,0,0,1,0,4:動画編集
UC0SBBci0S1JWL0JHCX5QnZA,0,0,0,0,0,0,1,0,0,0,0,0,5:一般的
UC0SK2WVy_aVAaa14ep6WHCg,0,0,0,0,1,1,1,1,0,0,0,0,1:企画・お笑い・トーク
UC0UXEbX8VV4Cggnxg_f5A_Q,0,0,0,0,1,0,1,0,0,0,0,0,5:一般的
UC0ZbCzmJ_MN4qzvC09aNZtA,0,0,0,0,0,0,1,0,0,0,0,0,5:一般的
UC0boJYCv_7IZng-7ipsvzAw,0,1,0,0,0,0,1,1,0,0,0,0,1:企画・お笑い・トーク
UC0nasgeLGQZYGQdfhu6b-SQ,0,0,0,0,1,0,0,1,0,0,0,0,3:歌
