channelId,customer_illust,customer_2d_modeling,customer_3d_modeling,customer_event,customer_talk,customer_comedy,customer_game,customer_sing,customer_perform,customer_composition,customer_video_edit,customer_foreign_lng
UC-0McIXO-k-ueD879cVjYGA,0,0,0,1,1,0,0,0,0,0,0,0
UC-2xgar-JlI2TDljcEOAFXQ,0,1,0,0,0,0,1,1,0,0,0,0
UC-3q8FXSswVKbyhaVEBBzVw,0,0,0,0,1,0,0,0,0,0,0,0
UC-5fy20Ws6pGKiPniGWSp_w,0,0,0,0,1,0,0,0,0,0,0,0
UC-5n3rENHsCuCBVtOS7cMzw,0,0,0,0,0,0,1,1,0,0,0,1
UC-6Iez54bE038UQauMgJS-w,0,1,0,0,1,0,0,0,0,0,0,0
UC-9mpnLpsp6O15A4qVSZkaw,0,0,0,0,0,0,0,0,0,1,0,0
UC-C7nycpin5BFgvJg8hOOvA,0,0,1,0,1,0,0,0,0,0,0,1
UC-FRKMBZ-XLLVHipcYPCjnA,0,0,0,1,0,0,0,0,0,0,0,0
UC-MZ5Rm8JPpXnPoTan1JGdQ,1,0,0,0,0,0,0,0,0,0,0,0
UC-Osw5bCN2PJKJq-s6gCcQQ,0,0,0,0,1,0,1,0,0,0,0,0
UC-QLBeV8GVfexXnQOisUTXQ,0,0,0,1,0,0,0,0,0,0,0,0
UC-QiTPDr_mwFVc3LYsdsM9w,1,1,0,1,1,0,1,1,0,0,1,0
UC-WfEvgxDBQ3E82yhohUaaw,1,0,0,1,1,0,0,1,1,1,0,0
UC-XgaO51zfASdUWqnQ2kgxA,1,1,0,0,1,0,0,1,1,0,0,0
UC-Y_6gEbu4sw65fru_zRD_w,0,0,0,0,0,0,0,0,0,1,0,0
UC-_FkS6liTecyggLY9_Pblw,1,0,0,0,0,0,0,0,0,0,0,0
UC-_X1qXm3mJgiZUoRMgCOwg,1,1,0,0,0,0,0,0,0,0,0,0
UC-chvJPaANCViW5BiBR955g,1,1,0,0,0,0,0,0,0,0,0,0
UC-hF7RQOScFblBSVBJ0PQoA,1,1,0,0,0,0,0,0,0,0,0,0
UC-hFTRWDaSj0mS6CpvyeaTQ,0,0,0,0,1,0,0,1,0,0,0,0
UC-mM3_AGLuCPUlTBGAqBNWw,0,0,0,0,0,1,0,0,0,0,1,0
UC-oclVGZWejWQqm3a77m92A,0,0,0,1,0,0,1,0,0,0,0,0
UC-paul1Nd8pnK2eAAtxAaYw,0,0,0,0,0,0,0,1,0,0,0,0
UC-rOEaaqTBZKIO6jSdXpdPQ,0,0,0,1,1,1,1,1,0,0,0,0
UC-s7Qogbwocsd6r5ws4FyaA,0,0,0,0,1,0,0,0,0,0,0,0
UC-vawMwEtWJ6u9adL2uclbg,1,1,1,0,0,0,0,1,0,0,1,0
UC-wEjZjIcmhccDXEOo-vCsg,1,0,0,0,0,0,1,0,0,0,0,0
UC-wZpxe-sOkaJPAL88F4nhg,0,0,0,1,1,0,0,0,0,0,0,0
UC0-fiHH0MWrG1JMQi-2YDAQ,1,1,1,0,0,0,1,1,0,0,0,0
UC04Lp4fnMhrFNYM8PWbRiZg,0,0,1,1,0,0,0,0,0,0,1,0
UC05YP2Cw4HEQ6ArGYyyMcgg,0,0,1,0,0,0,0,0,0,0,0,0
UC06VqaCdzE-WFS1ErD-vWTQ,0,1,0,0,1,0,0,0,0,0,0,0
UC07JX3oF-bJn_jVfNRwmMXw,0,0,0,1,1,0,1,0,0,0,0,0
UC07Ox8mQhE-bROLNbUOy2BA,0,0,0,1,0,0,0,0,0,0,0,0
UC08TI5fvi8KTaT5JXend4-w,0,0,0,0,1,1,1,0,0,0,0,0
UC0AOSe8rC8zF1GWjcrbEttg,1,0,0,1,0,0,1,0,0,0,0,0
UC0EdVFIxQY95pQmu1BTPoqg,1,1,0,0,0,0,0,0,0,0,0,0
UC0LFEzDw6vUN1tDvBvCT6-Q,0,0,0,1,0,0,0,1,1,1,1,0
UC0LXAhHz-IJeXwvklew_jig,0,0,0,0,1,0,1,1,0,0,0,0
UC0P3jtkvQjZNLlGDuPMBq6g,1,0,0,0,0,0,0,0,0,0,0,0
UC0QO7Ecmv75MFV_ru89fTeQ,0,0,1,1,1,0,0,0,0,0,1,0
UC0SK2WVy_aVAaa14ep6WHCg,0,0,0,1,1,0,0,0,0,0,0,0
UC0UXEbX8VV4Cggnxg_f5A_Q,0,0,0,0,1,0,1,0,0,0,0,0
UC0ZbCzmJ_MN4qzvC09aNZtA,0,0,0,0,0,0,1,0,0,0,0,0
UC0boJYCv_7IZng-7ipsvzAw,1,1,0,0,0,0,1,1,0,0,0,0
UC0nasgeLGQZYGQdfhu6b-SQ,0,0,0,0,0,0,0,1,0,0,0,0
UC0qhw3KdajqiUshNfU26-nA,1,0,0,0,0,0,0,1,0,0,0,0
UC0wQk-NWk9SNTY5vpzeWc3w,0,0,0,1,1,0,1,1,0,0,0,1
UC0wzKgdczgwcFlHsbylBOfg,0,0,0,0,0,0,1,0,0,0,0,0
UC0yUtSIpcVTO8dpyhFqbS_g,1,0,0,0,1,0,0,1,0,0,0,0
UC10Hvs8hwlKbERjpkHTzEWA,0,0,0,0,0,0,1,0,0,0,0,0
UC12oTwhIFytkX4-muA1pqkQ,0,0,1,0,0,0,1,0,0,0,0,0
UC15XtnvAiHPHgll2l8KV_gw,1,1,0,0,0,0,1,0,0,0,0,0
UC15aMYGSWSvazgyaHJsvMpQ,0,0,1,0,0,0,0,0,0,0,1,0
UC16DK2sdofXQfShdlf4Bjag,0,0,0,0,0,0,1,1,0,0,0,0
UC16d4b4gNRmPjqaCuOOJVqA,0,0,0,1,0,0,0,0,0,0,0,0
UC1Aif3EOfTwGcCabhMBwqyg,0,0,0,1,0,0,1,0,0,0,0,0
