channelId,gender_male,gender_female,gender_babiniku,gender_tomgirl,gender_bisexual,gender_other
UC-0McIXO-k-ueD879cVjYGA,0,1,0,0,0,0
UC-2KsGcREpW1DWH29PEudHA,0,0,1,0,0,0
UC-2xgar-JlI2TDljcEOAFXQ,1,0,0,0,0,0
UC-3q8FXSswVKbyhaVEBBzVw,0,1,0,0,0,0
UC-4jx_4XXlJIjCtBrrU3ybA,0,0,1,0,0,0
UC-5fy20Ws6pGKiPniGWSp_w,0,1,0,0,0,0
UC-5n3rENHsCuCBVtOS7cMzw,1,0,0,0,0,0
UC-61fbz4N4u0v0JAZRjFZTQ,0,1,0,0,0,0
UC-9mpnLpsp6O15A4qVSZkaw,0,0,1,0,0,0
UC-9vrFUoOeKxAutoPhnvi2g,0,1,0,0,0,0
UC-B8GCGS1c9Dk0isWtGGQZg,0,0,1,0,0,0
UC-FRKMBZ-XLLVHipcYPCjnA,0,0,0,0,1,0
UC-Hua97bZDQggqIZ3wsDNEw,0,1,0,0,0,0
UC-Iq3ReekpHOCkBrLVkudZQ,1,0,0,0,0,0
UC-IyXaOuMLVc__gEn3z7oWw,0,1,0,0,0,0
UC-JMcp7uJGMfIcnnBbqJoSA,0,0,0,0,0,1
UC-L_53Ok6sNEKmO1OgUy_Dg,0,1,0,0,0,0
UC-LkbW-zEXBQCTKCg0zKv5g,0,1,0,0,0,0
UC-MZ5Rm8JPpXnPoTan1JGdQ,0,0,0,0,0,1
UC-PE_W0BXAlfneAfDS6bwXw,1,0,0,0,0,0
UC-PjywnZ383R5btIosVtlxA,0,0,0,0,0,1
UC-R1TZizofWW9H6DaGu0-Hw,0,1,0,0,0,0
UC-S8ogMEDLbtXwekjCzZzFw,1,0,0,0,0,0
UC-UmUsocuVAxsKog3QonhpA,0,1,0,0,0,0
UC-VEm0WDd0nddxuXCkpdSMw,0,0,0,0,0,1
UC-WfEvgxDBQ3E82yhohUaaw,0,1,0,0,0,0
UC-_FkS6liTecyggLY9_Pblw,0,1,0,0,0,0
UC-_X1qXm3mJgiZUoRMgCOwg,0,1,0,0,0,0
UC-cEbzUOkZZSF2etZcbmL2w,1,0,0,0,0,0
UC-chvJPaANCViW5BiBR955g,0,0,0,0,0,1
UC-dO0LCAw8CUPRmuyVIYUeA,0,0,0,1,0,0
UC-fzzHItEmaRp8NMoBXasQg,0,0,0,0,1,0
