channelId,model_2d,model_3d,model_real
UC--CIQrRRGbLzEtp8ovlAzQ,1,0,0
UC-0McIXO-k-ueD879cVjYGA,1,0,0
UC-2EabkUYZGT1N3CKJTWG7A,0,1,0
UC-2KsGcREpW1DWH29PEudHA,0,1,1
UC-2xgar-JlI2TDljcEOAFXQ,1,0,0
UC-4jx_4XXlJIjCtBrrU3ybA,1,0,0
UC-5fy20Ws6pGKiPniGWSp_w,1,0,0
UC-5n3rENHsCuCBVtOS7cMzw,1,0,0
UC-61fbz4N4u0v0JAZRjFZTQ,0,1,0
UC-6Iez54bE038UQauMgJS-w,1,0,0
UC-9R2-qEdywum4TfLw_U4mg,1,0,0
UC-9mpnLpsp6O15A4qVSZkaw,0,1,0
UC-9vrFUoOeKxAutoPhnvi2g,1,0,0
UC-BoOL4zE1WIovjNcuOpWxA,1,0,0
UC-C7nycpin5BFgvJg8hOOvA,0,1,0
UC-CDcellal-vLGo0Y9rRgrg,1,1,0
UC-FRKMBZ-XLLVHipcYPCjnA,1,0,0
UC-JMcp7uJGMfIcnnBbqJoSA,1,0,0
UC-Jg7D3KSMxGDaIrV-PiWHQ,1,0,0
UC-L_53Ok6sNEKmO1OgUy_Dg,1,0,0
UC-LkbW-zEXBQCTKCg0zKv5g,1,0,0
UC-MZ5Rm8JPpXnPoTan1JGdQ,1,0,0
UC-PE_W0BXAlfneAfDS6bwXw,1,0,0
UC-R1TZizofWW9H6DaGu0-Hw,1,0,0
UC-S8ogMEDLbtXwekjCzZzFw,1,0,0
UC-WfEvgxDBQ3E82yhohUaaw,0,1,0
UC-XgaO51zfASdUWqnQ2kgxA,1,0,0
UC-ZMmWJqFrRZqq2zywix4iw,1,0,0
UC-_FkS6liTecyggLY9_Pblw,1,0,0
UC-_X1qXm3mJgiZUoRMgCOwg,1,0,0
UC-cEbzUOkZZSF2etZcbmL2w,1,0,0
UC-chvJPaANCViW5BiBR955g,1,0,0
UC-dBB417hflTy9BsfD4yn2Q,1,0,0
UC-dO0LCAw8CUPRmuyVIYUeA,1,0,0
UC-fzzHItEmaRp8NMoBXasQg,1,0,0
UC-hFTRWDaSj0mS6CpvyeaTQ,1,0,0
UC-hiNYnGMRVoigCgySQkRsw,1,0,0
UC-ludgfiE2XhMmZeFMM4bIQ,1,0,0
UC-m72xWAlGs8NZiTue472uA,1,0,0
UC-mB2kuybfsh7w8WrnMmyvg,1,0,0
UC-mHmlfNJMFLXkxv6JJW1ZA,1,0,0
UC-mIV0ls1AyMHr3TcvBfgSg,1,0,0
UC-mM3_AGLuCPUlTBGAqBNWw,0,1,0
UC-nTthLwoDnJxeeuZAF9aQw,1,0,0
UC-paul1Nd8pnK2eAAtxAaYw,1,0,0
UC-s7Qogbwocsd6r5ws4FyaA,1,0,0
UC-syVNKVj_PnM_zKvlvX5ng,1,0,0
UC-tDue_WgdsJWl-8rukrKeg,1,0,0
UC-vawMwEtWJ6u9adL2uclbg,1,0,0
UC-wEjZjIcmhccDXEOo-vCsg,1,0,0
UC-wPg7j_lE1rJ2WhXENakPw,1,0,0
UC-wZpxe-sOkaJPAL88F4nhg,1,0,0
UC-xHt7uyYFT6aZ3d0vyabCg,1,0,0
UC-yCLcv8bFBBOedijWSJkkg,1,0,0
UC0-fiHH0MWrG1JMQi-2YDAQ,1,1,0
UC042Rdq1ozvYcnkeI4ttT6Q,1,0,0
UC04Lp4fnMhrFNYM8PWbRiZg,0,1,0
UC05YP2Cw4HEQ6ArGYyyMcgg,0,1,0
UC06VqaCdzE-WFS1ErD-vWTQ,1,0,0
UC07Ox8mQhE-bROLNbUOy2BA,1,0,0
UC08TI5fvi8KTaT5JXend4-w,1,0,0
UC08txk58SfEqcrbIFIb4Xow,1,1,0
UC0AF3O6ywE7i7mPdQKaVrqA,1,0,0
UC0DJwI2MAZgLIV646TZfuJA,1,0,0
UC0EAqw7iphE4nlDbuMwoU_Q,1,0,0
UC0EdVFIxQY95pQmu1BTPoqg,1,0,0
UC0Fu6RrKR0LNlbZxL44CPdQ,1,0,0
UC0KGhiH0jj4C56Wt_McL99Q,0,1,0
UC0LFEzDw6vUN1tDvBvCT6-Q,1,0,0
UC0LXAhHz-IJeXwvklew_jig,1,1,0
UC0MYL5u0svWqRkSdiJYF4oQ,1,0,0
UC0N_W_K-IZvXdtubvJmkj1w,0,1,0
UC0Nvr0G8FfuJzoXCpNih5Gg,1,0,0
UC0NzU0FveZQwNEpyxCt8BKA,1,0,0
UC0P3jtkvQjZNLlGDuPMBq6g,1,0,0
UC0QO7Ecmv75MFV_ru89fTeQ,0,1,0
UC0QUo313glwkCpo0RE8pVoA,0,1,0
UC0REsiEl_CjG1Tc207rSe9Q,1,0,0
UC0SK2WVy_aVAaa14ep6WHCg,0,1,0
UC0U9zIsQdMK19Ky43gBPS_A,1,0,0
UC0UXEbX8VV4Cggnxg_f5A_Q,0,0,1
UC0YdEqeIQN-Lq70PTx4EnMw,1,1,0
UC0ZnxmJSpozCBpKwPPYdSZQ,1,0,0
UC0avIekb_1u_ipPQmfgc4yg,1,0,0
UC0boJYCv_7IZng-7ipsvzAw,0,1,0
UC0fY0DFNDqvuLTxX-FF9jdQ,1,0,0
UC0gbkS-xhcWWXfWugQUSRuw,1,0,0
UC0glUvSvUtdYkGeI-HuhypQ,0,1,0
UC0gsl8OsuOJRUjEAiSmjyHw,1,0,0
UC0lfYdOqDlLMCQl04uztUOQ,1,0,0
UC0nCTix8nhTLBrO_oe23cbA,1,0,0
UC0nasgeLGQZYGQdfhu6b-SQ,1,0,0
UC0nneEGJEGrroRLhAjjg7iw,0,1,0
UC0oLhE1jGH9trMxzQprEgPg,1,0,0
UC0pHkP11Sih_h4tBF3ohNmg,1,0,0
UC0pzvnCjWihMZue9wAK6mDw,1,0,0
UC0qRXPoneN_LkqkIzJ0GBcg,0,1,0
UC0qYkD1LoIKIsVfhCzULLkw,1,0,0
UC0rr3oLfK0Au-g00K50dX2Q,1,0,0
UC0v-_PxiGnm7U1W2ubehPtw,1,0,0
UC0vNPShz-z8GBGL5FOxeRjw,1,0,0
UC0wQk-NWk9SNTY5vpzeWc3w,1,0,0
UC0xEb3KBP0SZoyN8lOqFRow,0,1,0
UC0yUtSIpcVTO8dpyhFqbS_g,1,0,0
UC0y_x40Efid0CvAUEXDXiiA,1,0,0
UC1-C-GB_Z5M-sZF_lfl5rSg,1,1,0
UC1-y2SgiExsBDYvH7QLtz2w,1,0,0
UC127k8SWBqfIJ6zQ_R4tUGg,1,0,0
UC12oTwhIFytkX4-muA1pqkQ,0,1,0
UC15aMYGSWSvazgyaHJsvMpQ,1,0,0
UC16DK2sdofXQfShdlf4Bjag,0,1,0
UC16d4b4gNRmPjqaCuOOJVqA,1,0,0
UC18kbpPBYEZAP5QNfrwe8JQ,1,0,0
UC1Aif3EOfTwGcCabhMBwqyg,1,0,0
UC1AyCiv-RzVLZbQOtqyDKzA,1,0,1
UC1BNTyFj6KAeU3fKzTuXhtw,1,0,0
UC1BiQwqgvFNli5m48p4yRqg,1,0,0
UC1CsDaJwtnF8LpwtEqw4P7g,1,0,0
UC1D6BasOxK0jXGRm1HmncaA,0,0,1
UC1EuMVvi1jLLGknHjUnA57g,1,0,0
UC1H4wogIvYz7aVmaDpFA99Q,1,0,0
UC1HQhuOgiY_jjqGIvxbZ6qg,1,0,0
UC1Hr64qXZWAIOpx2PsnAu9A,0,1,0
UC1IT-0HKeukLKPJgO1IrKNQ,1,0,0
UC1JdXcThr1jzytcyEctMrXQ,1,0,0
UC1Je5rfcripQtpev7f-1Idw,1,0,0
UC1KZ0fCa8COVz_DCM3ka_fA,1,0,0
UC1MTQRWL6f3KXYTCH2RgPgg,1,0,0
UC1MgzfwVToAfgnFzQKk4VVA,1,0,0
UC1O739Bs_hJN35_doH8nwUQ,1,0,0
UC1Peil9pJLavm1MLmi1QRdw,1,0,0
UC1PuU61lLiaG3z2pKs57s_Q,0,1,0
UC1Q26URePjbb76wsjwZsjjQ,1,0,0
UC1QpNAV9xNS5P-yAwJLi07A,1,1,0
UC1TX2FBwQRvX9tV6ANd0JqQ,1,0,0
UC1UpLFJux54yXY59AK5aQpg,0,1,0
UC1UtoxnTjGDok3azO2rRkCw,1,0,0
UC1UuJy247gLqtAM7D9ZasIQ,1,0,0
UC1WAEoIIcv5Q3bL9UP5mSSQ,1,0,0
UC1W_wtuIjLlY98KyuvSgOww,1,0,0
UC1XBpufUDUtV5Wyl7RFLUqw,0,1,1
UC1XNdlEVjEsv9yFpehx37lA,1,0,0
UC1XUaqqwuc2E0TyVX3TkQeA,1,0,0
UC1Y2NAD-KvxBuSs_BuWo38g,1,0,0
UC1Y3IUVATadc2JIXJwbk5Yg,1,0,0
UC1ZkwX5yT6XBelfaUXjJE4w,0,1,0
