channelId,model_2d,model_3d,model_real
UC--CIQrRRGbLzEtp8ovlAzQ,1,0,0
UC-0McIXO-k-ueD879cVjYGA,1,0,0
UC-2KsGcREpW1DWH29PEudHA,0,0,1
UC-5fy20Ws6pGKiPniGWSp_w,1,0,0
UC-5n3rENHsCuCBVtOS7cMzw,1,0,0
UC-9mpnLpsp6O15A4qVSZkaw,0,1,0
UC-BoOL4zE1WIovjNcuOpWxA,1,0,0
UC-C7nycpin5BFgvJg8hOOvA,0,1,0
UC-C7nycpin5BFgvJg8hOOvA,0,1,0
UC-CDcellal-vLGo0Y9rRgrg,1,1,0
UC-CDcellal-vLGo0Y9rRgrg,1,1,0
UC-JMcp7uJGMfIcnnBbqJoSA,1,0,0
UC-JMcp7uJGMfIcnnBbqJoSA,1,0,0
UC-Jg7D3KSMxGDaIrV-PiWHQ,1,0,0
UC-Jg7D3KSMxGDaIrV-PiWHQ,1,0,0
UC-L_53Ok6sNEKmO1OgUy_Dg,1,0,0
UC-MZ5Rm8JPpXnPoTan1JGdQ,1,0,0
UC-MZ5Rm8JPpXnPoTan1JGdQ,1,0,0
UC-Osw5bCN2PJKJq-s6gCcQQ,1,0,0
UC-Osw5bCN2PJKJq-s6gCcQQ,1,0,0
UC-PE_W0BXAlfneAfDS6bwXw,1,0,0
UC-PE_W0BXAlfneAfDS6bwXw,1,0,0
UC-PE_W0BXAlfneAfDS6bwXw,1,0,0
UC-QiTPDr_mwFVc3LYsdsM9w,1,0,0
UC-R1TZizofWW9H6DaGu0-Hw,1,0,0
UC-S8ogMEDLbtXwekjCzZzFw,1,0,0
UC-WfEvgxDBQ3E82yhohUaaw,0,1,0
UC-ZMmWJqFrRZqq2zywix4iw,1,0,0
UC-_FkS6liTecyggLY9_Pblw,1,0,0
UC-_FkS6liTecyggLY9_Pblw,1,0,0
UC-_X1qXm3mJgiZUoRMgCOwg,1,0,0
UC-cEbzUOkZZSF2etZcbmL2w,1,0,0
UC-fzzHItEmaRp8NMoBXasQg,1,0,0
UC-hF7RQOScFblBSVBJ0PQoA,1,0,0
UC-hF7RQOScFblBSVBJ0PQoA,1,0,0
UC-hiNYnGMRVoigCgySQkRsw,1,0,0
UC-iakVVcfhokWaVh0Ir8Lpw,1,0,0
UC-m72xWAlGs8NZiTue472uA,1,0,0
UC-m72xWAlGs8NZiTue472uA,1,0,0
UC-mB2kuybfsh7w8WrnMmyvg,1,0,0
UC-mIV0ls1AyMHr3TcvBfgSg,1,0,0
UC-mM3_AGLuCPUlTBGAqBNWw,1,1,0
UC-nTthLwoDnJxeeuZAF9aQw,1,0,0
UC-nTthLwoDnJxeeuZAF9aQw,1,0,0
UC-oclVGZWejWQqm3a77m92A,1,0,0
UC-paul1Nd8pnK2eAAtxAaYw,1,0,0
UC-s7Qogbwocsd6r5ws4FyaA,1,0,0
UC-s7Qogbwocsd6r5ws4FyaA,1,0,0
UC-syVNKVj_PnM_zKvlvX5ng,1,0,0
UC-tDue_WgdsJWl-8rukrKeg,1,0,0
UC-wMseAf0bIVT9pvUaa_v1w,1,0,0
UC-wMseAf0bIVT9pvUaa_v1w,1,0,0
UC-wMseAf0bIVT9pvUaa_v1w,1,0,0
UC-wPg7j_lE1rJ2WhXENakPw,1,0,0
UC-xHt7uyYFT6aZ3d0vyabCg,1,0,0
UC-xHt7uyYFT6aZ3d0vyabCg,1,0,0
UC-yCLcv8bFBBOedijWSJkkg,1,0,0
UC0-ErTuYkE8wJiZ6v8z85HQ,1,0,0
UC0-fiHH0MWrG1JMQi-2YDAQ,1,1,0
UC0-fiHH0MWrG1JMQi-2YDAQ,1,1,0
UC02fPBmeiCsdn8lizDOcbLQ,1,0,0
UC02fPBmeiCsdn8lizDOcbLQ,1,0,0
UC042Rdq1ozvYcnkeI4ttT6Q,1,0,0
UC042Rdq1ozvYcnkeI4ttT6Q,1,0,0
UC06VqaCdzE-WFS1ErD-vWTQ,1,0,0
UC07Ox8mQhE-bROLNbUOy2BA,1,0,0
UC08TI5fvi8KTaT5JXend4-w,1,0,0
UC09cRmnS7eEZYN39MR32HYg,0,1,0
UC0AOSe8rC8zF1GWjcrbEttg,1,0,0
UC0EAqw7iphE4nlDbuMwoU_Q,1,0,0
UC0KGhiH0jj4C56Wt_McL99Q,0,1,0
UC0KGhiH0jj4C56Wt_McL99Q,0,1,0
UC0LFEzDw6vUN1tDvBvCT6-Q,1,0,0
UC0MYL5u0svWqRkSdiJYF4oQ,1,0,0
UC0Nvr0G8FfuJzoXCpNih5Gg,1,0,0
UC0OW4yPgxmEJhnedG0zcbJQ,1,0,0
UC0P3jtkvQjZNLlGDuPMBq6g,1,0,0
UC0QO7Ecmv75MFV_ru89fTeQ,0,1,0
UC0SK2WVy_aVAaa14ep6WHCg,0,1,0
UC0UXEbX8VV4Cggnxg_f5A_Q,0,1,1
UC0YdEqeIQN-Lq70PTx4EnMw,0,1,0
UC0ZbCzmJ_MN4qzvC09aNZtA,1,0,0
UC0avIekb_1u_ipPQmfgc4yg,1,0,0
UC0avIekb_1u_ipPQmfgc4yg,1,0,0
UC0boJYCv_7IZng-7ipsvzAw,1,1,0
UC0boJYCv_7IZng-7ipsvzAw,1,1,0
UC0boJYCv_7IZng-7ipsvzAw,1,1,0
UC0boJYCv_7IZng-7ipsvzAw,1,1,0
UC0fY0DFNDqvuLTxX-FF9jdQ,1,0,0
UC0glUvSvUtdYkGeI-HuhypQ,0,1,0
UC0hE2HJRuFNTtgGL4mnC0ng,1,0,0
UC0lfYdOqDlLMCQl04uztUOQ,1,0,0
UC0lfYdOqDlLMCQl04uztUOQ,1,0,0
UC0lfYdOqDlLMCQl04uztUOQ,1,0,0
UC0m3XWBdDMfPWtvb_fmb2DQ,0,1,0
UC0n3ascyHg4K5TKlFQ8G3EQ,1,0,0
UC0n3ascyHg4K5TKlFQ8G3EQ,1,0,0
UC0n3ascyHg4K5TKlFQ8G3EQ,1,0,0
UC0nneEGJEGrroRLhAjjg7iw,0,1,0
UC0nneEGJEGrroRLhAjjg7iw,0,1,0
UC0oLhE1jGH9trMxzQprEgPg,1,0,0
UC0oLhE1jGH9trMxzQprEgPg,1,0,0
UC0pzvnCjWihMZue9wAK6mDw,1,0,0
UC0qRXPoneN_LkqkIzJ0GBcg,0,1,0
UC0qYkD1LoIKIsVfhCzULLkw,1,0,0
UC0qhw3KdajqiUshNfU26-nA,0,1,0
UC0v-_PxiGnm7U1W2ubehPtw,1,0,0
UC0vNPShz-z8GBGL5FOxeRjw,1,0,0
UC0vWlUXa-xQwv0Uhd5MvdMA,1,0,0
UC0vWlUXa-xQwv0Uhd5MvdMA,1,0,0
UC0wQk-NWk9SNTY5vpzeWc3w,1,0,0
UC0xEb3KBP0SZoyN8lOqFRow,0,1,0
UC0y_x40Efid0CvAUEXDXiiA,1,0,0
UC0y_x40Efid0CvAUEXDXiiA,1,0,0
UC1-C-GB_Z5M-sZF_lfl5rSg,1,1,0
UC1-y2SgiExsBDYvH7QLtz2w,1,0,0
UC10Hvs8hwlKbERjpkHTzEWA,1,0,0
UC127k8SWBqfIJ6zQ_R4tUGg,1,0,0
UC12oTwhIFytkX4-muA1pqkQ,1,1,0
UC15XtnvAiHPHgll2l8KV_gw,1,0,0
UC15aMYGSWSvazgyaHJsvMpQ,1,1,0
UC16DK2sdofXQfShdlf4Bjag,0,1,0
UC16d4b4gNRmPjqaCuOOJVqA,1,0,0
UC16d4b4gNRmPjqaCuOOJVqA,1,0,0
UC19_eFt63_kC7LR_JzKtYPA,1,0,0
UC1AyCiv-RzVLZbQOtqyDKzA,0,0,1
UC1BNTyFj6KAeU3fKzTuXhtw,1,0,0
UC1BNTyFj6KAeU3fKzTuXhtw,1,0,0
UC1BNTyFj6KAeU3fKzTuXhtw,1,0,0
UC1BXMNayrOPkKiHynkDt9dw,1,0,0
UC1BiQwqgvFNli5m48p4yRqg,1,0,0
UC1D6BasOxK0jXGRm1HmncaA,1,0,1
UC1D6BasOxK0jXGRm1HmncaA,1,0,1
UC1D6BasOxK0jXGRm1HmncaA,1,0,1
UC1EuMVvi1jLLGknHjUnA57g,1,0,0
UC1H4wogIvYz7aVmaDpFA99Q,0,1,0
UC1H4wogIvYz7aVmaDpFA99Q,0,1,0
UC1IT-0HKeukLKPJgO1IrKNQ,1,0,0
UC1IT-0HKeukLKPJgO1IrKNQ,1,0,0
UC1Je5rfcripQtpev7f-1Idw,1,0,0
UC1M0hXl3p86WP_eqgv20oWw,1,0,0
UC1M0hXl3p86WP_eqgv20oWw,1,0,0
UC1MgzfwVToAfgnFzQKk4VVA,1,0,0
UC1MgzfwVToAfgnFzQKk4VVA,1,0,0
UC1O739Bs_hJN35_doH8nwUQ,1,0,0
UC1O739Bs_hJN35_doH8nwUQ,1,0,0
